Rank,Site,Total visits,Charge /free,In/ outdoor,% +/-,Area,Group,Note
1,Tate Modern,"1,431,704",F/C,I,-77%,London,TATE,
2,Natural History Museum (South Kensington),"1,296,763",F,I,-76%,London,NHM,
3,British Museum,"1,275,466",F/C,I,-80%,London,,
4,Royal Botanic Gardens Kew,"1,226,289",C,Mix,-36%,London,RBGK,
5,National Gallery The,"1,197,143",F/C,I,-80%,London,,
6,Chester Zoo,"1,182,652",F/C,O,-43%,Eng excl Lon,,
7,RHS Garden Wisley,"993,516",F/C,O,-20%,Eng excl Lon,RHS,
8,V&A South Kensington,"872,240",F/C,I,-78%,London,V&A,
9,Science Museum,"862,085",F,I,-74%,London,SMG,
10,Somerset House,"724,310",F/C,Mix,-75%,London,,
11,Southbank Centre,"679,957",F/C,Mix,-84%,London,,k
12,Horniman Museum and Gardens,"606,329",F/C,Mix,-36%,London,,
13,ZSL Whipsnade Zoo,"550,046",C,O,-15%,Eng excl Lon,ZSL,
14,Longleat,"495,037",C,Mix,-51%,Eng excl Lon,,
15,"Westonbirt, The National Arboretum","484,533",C,O,-14%,Eng excl Lon,FC,
16,Attingham Park,"483,946",F/C,Mix,-13%,Eng excl Lon,NT,
17,Royal Botanic Garden Edinburgh,"452,479",F/C,O,-54%,Scotland,RBGE,
18,ZSL London Zoo,"450,252",C,O,-58%,London,ZSL,
19,Tower of London,"447,812",C,I,-85%,London,HRP,
20,National Museum of Scotland,"444,437",F,I,-80%,Scotland,NMS,
21,Cliveden,"430,975",F/C,Mix,-18%,Eng excl Lon,NT,
22,Eden Project,"424,023",C,Mix,-58%,Eng excl Lon,,
23,Blenheim Palace,"418,473",F/C,Mix,-58%,Eng excl Lon,THE,
24,Clumber Park,"404,589",F/C,O,-39%,Eng excl Lon,NT,
25,Tate Britain,"396,000",F/C,I,-78%,London,TATE,
26,Dunham Massey,"388,908",F/C,Mix,New,Eng excl Lon,NT,e
27,Royal Academy,"385,775",F/C,I,-69%,London,,
28,Wakehurst,"342,545",F/C,O,-6%,Eng excl Lon,RBGK,
29,Edinburgh Zoo,"335,625",C,O,-45%,Scotland,RZSS,
30,Calke Abbey,"334,694",F/C,Mix,-27%,Eng excl Lon,NT,
31,British Library,"334,070",F/C,I,-78%,London,,
32,Roman Baths and Pump Room,"316,436",C,I,-76%,Eng excl Lon,,
33,Stonehenge,"314,999",C,O,-80%,Eng excl Lon,EH,l
34,"National Portrait Gallery, London","309,402",F/C,I,-81%,London,,j
