rank2021,Site,visits2021,Charge /free,In/ outdoor
1,"Royal Botanic Gardens, Kew","1,963,171",3,Mix
2,Natural History Museum (South Kensington),"1,571,413",2,I
3,British Museum,"1,327,120",2,I
4,Tate Modern,"1,156,037",2,I
5,Somerset House,"984,978",2,Mix
6,Science Museum,"955,873",1,I
7,V&A South Kensington,"857,742",2,I
8,Southbank Centre,"786,911",2,I
9,"National Gallery, The","708,924",2,I
10,ZSL London Zoo,"694,060",3,O
11,Royal Museums Greenwich,"686,375",1/2/3/4,I
12,Horniman Museum and Gardens,"653,200",2,Mix
13,Royal Albert Hall,"531,407",4,I
14,Tower of London,"526,379",3,Mix
15,Tate Britain,"525,144",2,I
16,Royal Academy of Arts,"468,693",3,I
17,British Library,"403,312",2,I
18,Hampton Court Palace,"376,107",3,Mix
19,IWM London,"320,542",1,I
20,Old Royal Naval College,"281,499",4,Mix
21,St Paul's Cathedral,"278,413",2,I
22,The Royal Opera House Covent Garden,"277,450",4,I
23,Shakespeare's Globe,"254,250",4,Mix
24,RAF Museum London,"214,730",1,I
25,Kensington Palace,"196,355",3,I
26,Tower Bridge,"182,284",4,Mix
27,London Transport Museum,"168,978",3,I
28,Westminster Abbey,"163,357",3,I
29,Museum of London,"141,835",2,I
30,WWT London,"104,836",3,O
31,Churchill War Rooms,"95,313",3,I
32,Eltham Palace and Gardens,"93,085",3,Mix
33,Museum of London (Docklands),"72,464",2,I
34,HMS Belfast,"60,035",3,I
35,Guildhall Art Gallery and London's Roman Ampitheatre,"37,782",1,I
36,The Monument,"9,804",4,I
37,Keats House,"1,896",4,I
