Year	Transport Mode	Passengers
2010	Bus journeys	189.1146606
2010	Bus journeys	181.6047923
2010	Bus journeys	175.8831733
2010	Bus journeys	183.4280516
2010	Bus journeys	160.4227672
2010	Bus journeys	175.8073358
2010	Bus journeys	189.7979071
2010	Bus journeys	179.8809146
2010	Bus journeys	178.8450951
2010	Bus journeys	140.051899
2011	Bus journeys	183.0263399
2011	Bus journeys	177.1822043
2011	Bus journeys	173.9412484
2011	Bus journeys	183.7890695
2011	Bus journeys	186.1431198
2011	Bus journeys	181.6502126
2011	Bus journeys	186.6689899
2011	Bus journeys	161.0650796
2011	Bus journeys	173.899762
2011	Bus journeys	193.4086629
2011	Bus journeys	185.1585965
2011	Bus journeys	189.4425409
2011	Bus journeys	151.1920286
2012	Bus journeys	181.3792522
2012	Bus journeys	179.4957134
2012	Bus journeys	191.1803453
2012	Bus journeys	171.8478123
2012	Bus journeys	189.2119656
2012	Bus journeys	176.5380988
2012	Bus journeys	189.9110592
2012	Bus journeys	167.1383355
2012	Bus journeys	177.0473123
2012	Bus journeys	194.2151059
2012	Bus journeys	184.6723651
2012	Bus journeys	187.603801
2012	Bus journeys	151.9363269
2013	Bus journeys	178.1221944
2013	Bus journeys	180.2517954
2013	Bus journeys	186.5040642
2013	Bus journeys	171.634596
2013	Bus journeys	188.7783616
2013	Bus journeys	183.498908
2013	Bus journeys	190.1784043
2013	Bus journeys	166.3236541
2013	Bus journeys	173.6793093
2013	Bus journeys	194.5059853
2013	Bus journeys	186.3485597
2013	Bus journeys	193.2191911
2013	Bus journeys	155.1304078
2014	Bus journeys	186.6478788
2014	Bus journeys	185.6287836
2014	Bus journeys	206.8533317
2014	Bus journeys	164.1128984
2014	Bus journeys	192.7652362
2014	Bus journeys	188.0825198
2014	Bus journeys	191.1015715
2014	Bus journeys	169.2446588
2014	Bus journeys	176.5021254
2014	Bus journeys	198.7598134
2014	Bus journeys	190.1546904
2014	Bus journeys	195.6391849
2014	Bus journeys	156.8042458
2015	Bus journeys	178.2268004
2015	Bus journeys	176.2994552
2015	Bus journeys	207.5099392
2015	Bus journeys	203.3982894
2015	Bus journeys	180.4511754
2015	Bus journeys	189.8925395
2015	Bus journeys	182.5099453
2015	Bus journeys	162.2927649
2015	Bus journeys	175.0026654
2015	Bus journeys	190.7567215
2015	Bus journeys	181.1999349
2015	Bus journeys	186.6151484
2015	Bus journeys	147.1039225
2016	Bus journeys	179.5026361
2016	Bus journeys	175.9804637
2016	Bus journeys	159.4396243
2016	Bus journeys	189.2696946
2016	Bus journeys	181.877468
2016	Bus journeys	173.6442849
2016	Bus journeys	177.6993792
2016	Bus journeys	155.321431
2016	Bus journeys	166.3205143
2016	Bus journeys	186.9184053
2016	Bus journeys	176.6024622
2016	Bus journeys	182.6521273
2016	Bus journeys	145.7549356
2017	Bus journeys	174.4384818
2017	Bus journeys	172.9433928
2017	Bus journeys	178.3662
2017	Bus journeys	172.5880603
2017	Bus journeys	182.263921
2017	Bus journeys	175.7759459
2017	Bus journeys	181.4774547
2017	Bus journeys	155.1018845
2017	Bus journeys	165.9884702
