name	Sunday Entry Exit
Shepherd's Bush Market	8225.0
West Drayton	7472.0
Finchley Central	11651.0
Sloane Square	28572.0
Cyprus	2025.0
Wimbledon	28443.0
North Harrow	2566.0
Harrow & Wealdstone	7002.0
North Ealing	1242.0
Ruislip Gardens	1714.0
South Kenton	1698.0
North Wembley	2546.0
Tooting Bec	15375.0
Clapham North	14920.0
Oval	13825.0
Kennington	12735.0
Dalston Junction	16186.0
Walthamstow Queen's Road	2636.0
St. James's Park	14372.0
Westminster	54672.0
Blackhorse Road	21596.0
Romford	18336.0
Clapham South	14683.0
Tooting Broadway	30264.0
Colliers Wood	13491.0
South Wimbledon	8776.0
Redbridge	4599.0
Old Street	36089.0
Kenton	3116.0
Stockwell	19450.0
Arsenal	5952.0
Pimlico	16102.0
Beckton Park	976.0
Upminster	9343.0
Wembley Park	40464.0
Finsbury Park	57312.0
Baker Street	48538.0
Archway	16194.0
East Acton	6717.0
Snaresbrook	3957.0
Barons Court	10463.0
Arnos Grove	8030.0
Angel	32202.0
Camden Town	69875.0
East Finchley	11216.0
Highgate	10452.0
Tufnell Park	12151.0
Hendon Central	10556.0
High Barnet	6539.0
Brent Cross	4052.0
Greenford	6861.0
Wanstead Park	3231.0
Leytonstone High Road	2704.0
Mill Hill East	3185.0
West Finchley	2545.0
Woodside Park	8028.0
Ilford	21157.0
Seven Kings	7083.0
South Harrow	5504.0
Sudbury Town	3129.0
Acton Central	3326.0
Sudbury Hill	3295.0
Whitechapel	38440.0
Haggerston	7974.0
Rotherhithe	3781.0
Surrey Quays	10260.0
Wapping	5054.0
Denmark Hill	13639.0
Wandsworth Road	985.0
Clapham High Street	4728.0
Hoxton	9873.0
Queens Road Peckham	5836.0
Edmonton Green	8502.0
Barkingside	2268.0
Bond Street	93200.0
Fairlop	2028.0
Gants Hill	10070.0
Hainault	5418.0
Mile End	25837.0
Farringdon	57817.0
Leicester Square	94415.0
Penge West	2114.0
Piccadilly Circus	85090.0
Holborn	40547.0
Wimbledon Park	4177.0
Ravenscourt Park	5725.0
Imperial Wharf	6022.0
Lambeth North	7052.0
Seven Sisters	29910.0
Southfields	8803.0
South Ealing	3805.0
Upton Park	19737.0
Clapham Common	23297.0
White City	17431.0
Lewisham DLR	15673.0
South Woodford	9188.0
West Ruislip	2973.0
Aldgate East	29712.0
Parsons Green	11888.0
Fulham Broadway	15166.0
Plaistow	9575.0
Bow Road	10331.0
Stepney Green	9782.0
Oakwood	6135.0
West Kensington	9474.0
West Brompton	13626.0
Boston Manor	2937.0
Knightsbridge	38636.0
Hounslow West	7457.0
Mornington Crescent	6870.0
Hounslow East	8554.0
Hounslow Central	7004.0
Southgate	9413.0
Cockfosters	3970.0
Burnt Oak	6431.0
Putney Bridge	11876.0
Northfields	6673.0
Hyde Park Corner	12965.0
Lancaster Gate	9764.0
Newbury Park	7211.0
Ealing Common	4576.0
Kingsbury	7543.0
Queensbury	6323.0
Northwick Park	5658.0
Preston Road	5060.0
Finchley Road	16015.0
West Harrow	2178.0
Eastcote	4327.0
Ickenham	1640.0
Pinner	4993.0
Northwood Hills	2630.0
Northwood	3927.0
Leytonstone	16100.0
Harrow-on-the-Hill	19403.0
Acton Town	11380.0
South Kensington	69369.0
Embankment	50526.0
Notting Hill Gate	38146.0
West Ham	10839.0
Stratford	159945.0
Mudchute	4282.0
Southwark	15735.0
Edgware	9317.0
Warwick Avenue	7139.0
Tottenham Court Road	158313.0
Greenwich	13908.0
West India Quay	8509.0
All Saints	4027.0
Abbey Road	2984.0
Stratford High Street	2452.0
Bow Church	6830.0
Limehouse DLR	18340.0
Bounds Green	10086.0
Hampstead	10788.0
Belsize Park	11085.0
Holloway Road	10816.0
Stratford International DLR	10845.0
Swiss Cottage	11100.0
Park Royal	4009.0
Wood Lane	13404.0
Turnpike Lane	19830.0
Morden	20932.0
Canning Town	36180.0
Ealing Broadway	37729.0
Russell Square	18263.0
Caledonian Road	10295.0
Totteridge & Whetstone	4341.0
Chalk Farm	13210.0
Oxford Circus	142921.0
North Greenwich	69120.0
Canada Water	27372.0
Clapham Junction	25539.0
Crystal Palace	4450.0
Sydenham	4269.0
Forest Hill	7171.0
Honor Oak Park	5628.0
New Cross Gate	18213.0
New Cross	6335.0
Woolwich Arsenal	15710.0
Abbey Wood	25204.0
Norwood Junction	4794.0
Kensington (Olympia)	5013.0
South Ruislip	3060.0
White Hart Lane	3477.0
Turkey Street	1767.0
Stamford Hill	2120.0
Stoke Newington	4721.0
Bruce Grove	6675.0
Rectory Road	3897.0
Clapton	4120.0
Elverson Road	3296.0
Deptford Bridge	7742.0
Crossharbour	8460.0
South Quay	7252.0
King George V	3158.0
Royal Victoria	7525.0
Prince Regent	4099.0
Royal Albert	3771.0
Gallions Reach	4449.0
Beckton	4027.0
Blackwall	3573.0
East India	7294.0
London City Airport	5395.0
West Silvertown	5619.0
Pontoon Dock	6210.0
North Acton	12657.0
Tower Hill	39397.0
Colindale	14263.0
Golders Green	14078.0
Ruislip	3294.0
Rayners Lane	7204.0
Neasden	5723.0
Hatton Cross	7450.0
Osterley	3827.0
Stamford Brook	4275.0
Turnham Green	10955.0
Chiswick Park	4097.0
Earl's Court	43561.0
Becontree	5641.0
Ruislip Manor	2801.0
Northolt	9086.0
Perivale	3576.0
Woodford	9861.0
Hanger Lane	5604.0
Upminster Bridge	1100.0
Hornchurch	2899.0
Dagenham East	5288.0
Dagenham Heathway	9594.0
Stanmore	6982.0
Canons Park	4425.0
Elm Park	4713.0
Leyton	23084.0
East Putney	13218.0
Temple	8435.0
Walthamstow Central	33233.0
Anerley	2511.0
Alperton	6169.0
Covent Garden	45250.0
St. John's Wood	12325.0
East Ham	25897.0
Bromley-by-Bow	8613.0
Kensal Green	4024.0
Harlesden	4444.0
Bermondsey	18008.0
Green Park	69885.0
Uxbridge	9443.0
Hillingdon	3022.0
Goldhawk Road	4187.0
Latimer Road	3699.0
Kilburn Park	6783.0
Royal Oak	5109.0
Bayswater	11121.0
High Street Kensington	24193.0
Gloucester Road	27174.0
Marble Arch	23962.0
Great Portland Street	8503.0
Warren Street	22816.0
Goodge Street	8779.0
Highbury & Islington	37182.0
Willesden Green	12833.0
Kilburn	14081.0
West Acton	2293.0
Richmond	24877.0
Gunnersbury	7641.0
Stonebridge Park	4789.0
Willesden Junction	9036.0
Dollis Hill	6959.0
Westbourne Park	7949.0
South Acton	1441.0
Kew Gardens	10615.0
Barking	33700.0
Ladbroke Grove	17693.0
Upney	3987.0
Queen's Park	10137.0
Holland Park	5532.0
Euston Square	18658.0
Camden Road	10777.0
Wanstead	4612.0
Queensway	19256.0
Maryland	7436.0
Wood Street	4377.0
Headstone Lane	719.0
Hatch End	1160.0
Brockley	8176.0
Manor Park	8251.0
Forest Gate	11908.0
Upper Holloway	3854.0
Crouch Hill	2690.0
Gospel Oak	6464.0
Woodgrange Park	2037.0
Regent's Park	4995.0
Maida Vale	6172.0
Wood Green	23874.0
Manor House	15203.0
Borough	9413.0
Enfield Town	4247.0
Finchley Road & Frognal	5242.0
Gidea Park	4755.0
Emerson Park	321.0
Pudding Mill Lane	9350.0
Hampstead Heath	7957.0
Dalston Kingsland	14130.0
Peckham Rye	9884.0
Shoreditch High Street	15415.0
Kilburn High Road	1456.0
Harringay Green Lanes	4656.0
Kentish Town West	6415.0
Silver Street	5474.0
Caledonian Road & Barnsbury	4557.0
Leyton Midland Road	3651.0
Chingford	4715.0
Highams Park	4804.0
Cambridge Heath	4098.0
Hackney Central	14735.0
Heron Quays	11982.0
Harold Wood	5044.0
Westferry	10419.0
Island Gardens	5260.0
Chadwell Heath	8259.0
West Ealing	6519.0
Southall	17815.0
Hanwell	6407.0
Goodmayes	8341.0
Acton Main Line	5974.0
Brondesbury	5402.0
Star Lane	2526.0
Shadwell DLR	13440.0
Kensal Rise	6113.0
Hackney Downs	10268.0
Homerton	7497.0
Canonbury	6192.0
Southbury	2012.0
Brondesbury Park	3055.0
South Tottenham	3554.0
St James Street	3298.0
Hackney Wick	10901.0
Bush Hill Park	3756.0
London Fields	4794.0
South Hampstead	1496.0
Devons Road	5555.0
Poplar	4227.0
Langdon Park	8701.0
Wembley Central	11306.0
Nine Elms	10097.0
Battersea Power Station	27422.0
Barking Riverside	1272.0
Bond Street	93200.0
Tottenham Court Road	158313.0
